FIPS Code,Geography,Year,Program Type,Population
36000,New York State,2021,Postcensal Population Estimate,19835913
36001,Albany County,2021,Postcensal Population Estimate,313743
36003,Allegany County,2021,Postcensal Population Estimate,46106
36005,Bronx County,2021,Postcensal Population Estimate,1424948
36007,Broome County,2021,Postcensal Population Estimate,197240
36009,Cattaraugus County,2021,Postcensal Population Estimate,76426
36011,Cayuga County,2021,Postcensal Population Estimate,75880
36013,Chautauqua County,2021,Postcensal Population Estimate,126807
36015,Chemung County,2021,Postcensal Population Estimate,83045
36017,Chenango County,2021,Postcensal Population Estimate,46537
36019,Clinton County,2021,Postcensal Population Estimate,79596
36021,Columbia County,2021,Postcensal Population Estimate,61778
36023,Cortland County,2021,Postcensal Population Estimate,46311
36025,Delaware County,2021,Postcensal Population Estimate,44378
36027,Dutchess County,2021,Postcensal Population Estimate,297112
36029,Erie County,2021,Postcensal Population Estimate,950683
36031,Essex County,2021,Postcensal Population Estimate,37268
36033,Franklin County,2021,Postcensal Population Estimate,47456
36035,Fulton County,2021,Postcensal Population Estimate,53116
36037,Genesee County,2021,Postcensal Population Estimate,57853
36039,Greene County,2021,Postcensal Population Estimate,48499
36041,Hamilton County,2021,Postcensal Population Estimate,5119
36043,Herkimer County,2021,Postcensal Population Estimate,59937
36045,Jefferson County,2021,Postcensal Population Estimate,116295
36047,Kings County,2021,Postcensal Population Estimate,2641052
36049,Lewis County,2021,Postcensal Population Estimate,26573
36051,Livingston County,2021,Postcensal Population Estimate,61578
36053,Madison County,2021,Postcensal Population Estimate,67658
36055,Monroe County,2021,Postcensal Population Estimate,755160
36057,Montgomery County,2021,Postcensal Population Estimate,49558
36059,Nassau County,2021,Postcensal Population Estimate,1390907
36061,New York County,2021,Postcensal Population Estimate,1576876
36063,Niagara County,2021,Postcensal Population Estimate,211653
36065,Oneida County,2021,Postcensal Population Estimate,230274
36067,Onondaga County,2021,Postcensal Population Estimate,473236
36069,Ontario County,2021,Postcensal Population Estimate,112508
36071,Orange County,2021,Postcensal Population Estimate,404525
36073,Orleans County,2021,Postcensal Population Estimate,40191
36075,Oswego County,2021,Postcensal Population Estimate,117387
36077,Otsego County,2021,Postcensal Population Estimate,58123
36079,Putnam County,2021,Postcensal Population Estimate,97936
36081,Queens County,2021,Postcensal Population Estimate,2331143
36083,Rensselaer County,2021,Postcensal Population Estimate,160232
36085,Richmond County,2021,Postcensal Population Estimate,493494
36087,Rockland County,2021,Postcensal Population Estimate,339227
36089,St. Lawrence County,2021,Postcensal Population Estimate,108051
36091,Saratoga County,2021,Postcensal Population Estimate,237359
36093,Schenectady County,2021,Postcensal Population Estimate,158089
36095,Schoharie County,2021,Postcensal Population Estimate,29863
36097,Schuyler County,2021,Postcensal Population Estimate,17752
36099,Seneca County,2021,Postcensal Population Estimate,33688
36101,Steuben County,2021,Postcensal Population Estimate,92948
36103,Suffolk County,2021,Postcensal Population Estimate,1526344
36105,Sullivan County,2021,Postcensal Population Estimate,79806
36107,Tioga County,2021,Postcensal Population Estimate,47980
36109,Tompkins County,2021,Postcensal Population Estimate,105162
36111,Ulster County,2021,Postcensal Population Estimate,182951
36113,Warren County,2021,Postcensal Population Estimate,65618
36115,Washington County,2021,Postcensal Population Estimate,60956
36117,Wayne County,2021,Postcensal Population Estimate,90923
36119,Westchester County,2021,Postcensal Population Estimate,997895
36121,Wyoming County,2021,Postcensal Population Estimate,40491
36123,Yates County,2021,Postcensal Population Estimate,24613
36000,New York State,2020,Postcensal Population Estimate,20154933
36001,Albany County,2020,Postcensal Population Estimate,314368
36003,Allegany County,2020,Postcensal Population Estimate,46373
36005,Bronx County,2020,Postcensal Population Estimate,1466438
36007,Broome County,2020,Postcensal Population Estimate,198199
36009,Cattaraugus County,2020,Postcensal Population Estimate,76907
36011,Cayuga County,2020,Postcensal Population Estimate,76095
36013,Chautauqua County,2020,Postcensal Population Estimate,127424
36015,Chemung County,2020,Postcensal Population Estimate,83882
36017,Chenango County,2020,Postcensal Population Estimate,47073
36019,Clinton County,2020,Postcensal Population Estimate,79715
36021,Columbia County,2020,Postcensal Population Estimate,61550
36023,Cortland County,2020,Postcensal Population Estimate,46723
36025,Delaware County,2020,Postcensal Population Estimate,44186
36027,Dutchess County,2020,Postcensal Population Estimate,295742
36029,Erie County,2020,Postcensal Population Estimate,953254
36031,Essex County,2020,Postcensal Population Estimate,37336
36033,Franklin County,2020,Postcensal Population Estimate,47527
36035,Fulton County,2020,Postcensal Population Estimate,53160
36037,Genesee County,2020,Postcensal Population Estimate,58258
36039,Greene County,2020,Postcensal Population Estimate,47890
36041,Hamilton County,2020,Postcensal Population Estimate,5078
36043,Herkimer County,2020,Postcensal Population Estimate,60007
36045,Jefferson County,2020,Postcensal Population Estimate,116134
36047,Kings County,2020,Postcensal Population Estimate,2727393
36049,Lewis County,2020,Postcensal Population Estimate,26538
36051,Livingston County,2020,Postcensal Population Estimate,61699
36053,Madison County,2020,Postcensal Population Estimate,67890
36055,Monroe County,2020,Postcensal Population Estimate,758554
36057,Montgomery County,2020,Postcensal Population Estimate,49433
36059,Nassau County,2020,Postcensal Population Estimate,1393978
36061,New York County,2020,Postcensal Population Estimate,1687834
36063,Niagara County,2020,Postcensal Population Estimate,212252
36065,Oneida County,2020,Postcensal Population Estimate,231695
36067,Onondaga County,2020,Postcensal Population Estimate,475653
36069,Ontario County,2020,Postcensal Population Estimate,112475
36071,Orange County,2020,Postcensal Population Estimate,401322
36073,Orleans County,2020,Postcensal Population Estimate,40236
36075,Oswego County,2020,Postcensal Population Estimate,117351
36077,Otsego County,2020,Postcensal Population Estimate,58351
36079,Putnam County,2020,Postcensal Population Estimate,97660
36081,Queens County,2020,Postcensal Population Estimate,2395791
36083,Rensselaer County,2020,Postcensal Population Estimate,160923
36085,Richmond County,2020,Postcensal Population Estimate,495522
36087,Rockland County,2020,Postcensal Population Estimate,338121
36089,St. Lawrence County,2020,Postcensal Population Estimate,108311
36091,Saratoga County,2020,Postcensal Population Estimate,235689
36093,Schenectady County,2020,Postcensal Population Estimate,157861
36095,Schoharie County,2020,Postcensal Population Estimate,29720
36097,Schuyler County,2020,Postcensal Population Estimate,17857
36099,Seneca County,2020,Postcensal Population Estimate,33715
36101,Steuben County,2020,Postcensal Population Estimate,93363
36103,Suffolk County,2020,Postcensal Population Estimate,1524099
36105,Sullivan County,2020,Postcensal Population Estimate,78643
36107,Tioga County,2020,Postcensal Population Estimate,48355
36109,Tompkins County,2020,Postcensal Population Estimate,105404
36111,Ulster County,2020,Postcensal Population Estimate,181687
